DIRECTORATE,SUB DIRECTORTE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,04/06/2020,190063,Nightingales Preschool Limited,742.00,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,04/06/2020,190063,Nightingales Preschool Limited,795.00,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,04/06/2020,239058,Promo Cymru Trading Limited,"4,687.50",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,BetterCare Keys Limited,"-6,874.29",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,726.96",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,804.27",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,806.41",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,870.49",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"2,954.11",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,190.81",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,190.81",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,190.81",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,192.90",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,192.90",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"3,192.90",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"4,504.20",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"5,624.40",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"6,261.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"8,001.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,Pathway Care Limited T/A Calon Cymru Fostering,"8,112.30",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,260060,BetterCare Keys Limited,"14,069.57",Revenue
DIRECT ENVIRONMENT AND HOUSING,GARAGE,04/06/2020,319010,MWR Sales Limited t/a Spartan Motor Factors,769.53,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,04/06/2020,333013,Ace Site Services (UK) Limited,"1,350.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,04/06/2020,356000,Golley Slater Group Limited,"1,180.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04/06/2020,359341,Frontline EPCs LLP,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04/06/2020,359341,Parkwood Leisure Limited,699.33,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04/06/2020,365787,First Cymru Buses Limited,"3,480.20",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,04/06/2020,365787,First Cymru Buses Limited,"3,585.28",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,04/06/2020,400050,Thomson Reuters (Professional) Limited T/A Sweet and Maxwell,949.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,04/06/2020,400050,Golley Slater Group Limited,"1,150.37",Revenue
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,04/06/2020,407120,Heatforce (Wales) Limited,"2,454.40",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04/06/2020,422100,Safetell Limited,"1,885.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04/06/2020,422120,Safetell Limited,896.00,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,04/06/2020,422130,Safetell Limited,896.00,Revenue
DIRECT POLICY,GF GRANTS,04/06/2020,465201,Newydd Housing Association (1974) Limited,"3,000.00",Revenue
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,AR CAPITAL ENGINEER,04/06/2020,831216,Dyer & Butler Limited,"5,000.00",Capital
DIRECT CAPITAL DEVELOPMENT,CAPITAL PLANNING,04/06/2020,837213,Sunshine Playgrounds Limited,"20,770.22",Capital
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04/06/2020,140117,Andrea Kemp t/a The Lighthouse Counselling,"1,000.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,04/06/2020,130271,Welsh Local Government Association,700.00,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/06/2020,209151,Cardiff & Vale University Local Health Board,"52,085.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/06/2020,101055,Bay Resourcing Limited,562.81,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/06/2020,101315,Teaching Personnel Limited,"1,638.50",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,04/06/2020,103412,Apollo Teaching Services Limited,857.10,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,215022,April Complete Care Solutions Limited,"1,484.90",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,215022,Northcote Developments Limited,500.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,215022,Northcote Developments Limited,500.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,215022,Northcote Developments Limited,"1,500.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,215022,Northcote Developments Limited,"1,694.40",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,216179,Amethyst Health Care Limited t/a The Willows,"3,876.30",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,216179,Amethyst Health Care Limited t/a The Willows,"3,876.30",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,216179,Amethyst Health Care Limited t/a Hillstone House,"4,210.82",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/06/2020,216179,Amethyst Health Care Limited t/a Hillstone House,"8,421.64",Revenue
DIRECT POLICY,GF GRANTS,04/06/2020,465201,Dinas Powys Library & Activity Centre,"1,677.60",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,05/06/2020,100303,ADC Fire Systems Limited,"2,124.25",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05/06/2020,101004,Superstars School Services Limited,"1,200.15",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,05/06/2020,101031,J C Building & Electrical Services Limited,"1,350.80",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,130510,J & D Water Consultants Limited,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,130511,J & D Water Consultants Limited,600.00,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,05/06/2020,190063,Passport to Play Day Nursery Limited,611.00,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,05/06/2020,212791,Carechair Limited,"1,499.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260160,Neal Social Care Limited,912.40,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260160,Neal Social Care Limited,"1,154.14",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260160,Neal Social Care Limited,"1,530.90",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260160,Neal Social Care Limited,"1,632.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,325851,Golley Slater Group Limited,866.07,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,325892,Centregreat Limited,"1,621.95",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,05/06/2020,333500,Weeding Technologies Limited,"8,884.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,05/06/2020,333510,Ace Site Services (UK) Limited,680.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,341182,FCC Recycling (UK) Limited,"108,384.90",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,341220,SUEZ Recycling and Recovery UK Limited,"121,458.15",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,352718,J & D Water Consultants Limited,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,352730,J & D Water Consultants Limited,600.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,356020,The Abbey Cleaning Services Limited,532.90,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05/06/2020,365769,Creigiau Travel Limited,"8,910.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05/06/2020,365790,Creigiau Travel Limited,"2,621.24",Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,05/06/2020,365794,Creigiau Travel Limited,"2,209.73",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,533.48,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05/06/2020,405004,Eclipse Hotel Cardiff Limited T/A Holiday Inn Express,590.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05/06/2020,405100,ACTL Limited,830.80,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,05/06/2020,421230,Astun Technology Limited,"2,125.00",Revenue
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,05/06/2020,471921,Evolve Corporate Limited T/A PK Safety,"1,998.00",Revenue
DIRECT POLICY,GF MISCELLANEOUS POLICY,05/06/2020,479050,Crawford & Company Adjusters (UK) Limited,503.50,Revenue
DIRECT POLICY,GF MISCELLANEOUS POLICY,05/06/2020,479050,Marsh Limited,"8,500.00",Revenue
DIRECT POLICY,GF MISCELLANEOUS POLICY,05/06/2020,479050,Marsh Limited,"9,000.32",Revenue
DIRECT POLICY,GF MISCELLANEOUS POLICY,05/06/2020,479050,Marsh Limited,"256,648.00",Revenue
DIRECT POLICY,GF MISCELLANEOUS POLICY,05/06/2020,479050,Marsh Limited,"359,384.48",Revenue
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,05/06/2020,812251,BECT Building Contractors Limited,"8,146.67",Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,05/06/2020,842164,RPA Quantity Surveyors Limited t/a RPA,500.00,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,05/06/2020,842164,RPA Quantity Surveyors Limited t/a RPA,500.00,Capital
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260160,London Borough of Waltham Forest,"19,800.00",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260500,Cardiff County Council,"4,620.00",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260500,Cardiff County Council,"18,111.85",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260504,Merthyr Tydfil County Borough Council,"16,394.00",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260504,Rhondda Cynon Taf County Borough Council,"65,576.00",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260504,Cardiff County Council,"78,464.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,341220,Cardiff County Council,"7,736.79",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,05/06/2020,325960,Western Power Distribution LLP,743.83,Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,05/06/2020,260150,Michelle Culwick,"1,879.65",Revenue
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,05/06/2020,350711,Rebecca Lea Thomas,"1,504.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,05/06/2020,405100,Duncan M Evans,"1,246.20",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260500,Wales Audit Office,"1,130.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,April Complete Care Solutions Limited,877.71,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,986.13,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"2,039.64",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"2,130.51",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"2,184.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"2,424.17",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"2,799.85",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"3,403.81",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"3,407.09",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"3,610.90",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,215022,Waverley Care Centre Limited,"4,142.90",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,The Cedars Care Services Limited t/a The Willows,676.00,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,The Cedars Care Services Limited t/a The Willows,"1,352.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,The Cedars Care Services Limited t/a The Hollies,"4,732.00",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,Inspiration Lifestyle Services Limited T/A Ceriosen Bren Care Home,"8,078.37",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,Consensus Support Services Limited t/a Ty Hendy,"13,123.62",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,Galltfaenan Hall Limited,"2,694.86",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,Galltfaenan Hall Limited,"2,708.58",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,217909,Galltfaenan Hall Limited,"2,784.68",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/06/2020,216179,Capability Scotland,"5,120.84",Revenue
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,05/06/2020,260500,Adoption UK,"2,500.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101030,A & R Contract Cleaning Specialist Limited,-804.93,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101030,A & R Contract Cleaning Specialist Limited,"1,560.46",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101094,Community Products (UK) Limited,"1,555.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101094,Community Products (UK) Limited,"1,585.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101094,Community Products (UK) Limited,"1,615.00",Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101095,One Team Logic Limited,814.72,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101221,The Consortium for Purchasing and Distribution Limited,604.24,Revenue
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08/06/2020,101304,Corona Energy Retail 4 Limited,639.10,Revenue
DIRECT LEARNING AND SKILLS,ALN and Wellbeing,08/06/2020,102604,eBuyer UK Limited,802.87,Revenue
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,08/06/2020,102632,Inspired Learners Limited,"1,190.00",Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,08/06/2020,140122,Datagraphic Group Limited,"1,219.00",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,08/06/2020,156009,Tesco Stores Limited,"58,500.00",Revenue
DIRECT LEARNING AND SKILLS,GF CATERING,08/06/2020,156009,Asda Stores Limited,"112,320.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,08/06/2020,209151,Little Inspirations Limited,"2,816.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,08/06/2020,209151,Little Inspirations Limited,"3,883.00",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212731,Corona Energy Retail 4 Limited,670.98,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-888.80,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-856.60,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-844.83,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-829.43,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-812.54,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-771.87,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-735.81,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-709.72,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-707.08,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-701.39,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-701.14,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-689.87,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-682.96,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-665.36,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-664.56,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-659.88,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-634.10,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-628.26,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-569.31,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-561.64,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,-542.67,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,523.34,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,524.50,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,531.11,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,584.90,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,589.46,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,600.15,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,614.14,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,615.60,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,616.32,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,637.07,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,648.46,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,648.69,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,656.25,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,657.21,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,662.24,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,716.34,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,729.66,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,743.99,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,758.56,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,768.90,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212741,Corona Energy Retail 4 Limited,797.20,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212781,Corona Energy Retail 4 Limited,"1,129.86",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,212791,Corona Energy Retail 4 Limited,719.49,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/06/2020,215121,Phoenix Software Limited,"2,669.15",Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/06/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),975.58,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08/06/2020,215803,Corona Energy Retail 4 Limited,674.56,Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,218302,MHFA Wales Limited t/a Mental Health First Aid Wales,"2,999.36",Revenue
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,08/06/2020,218302,MHFA Wales Limited t/a Mental Health First Aid Wales,"4,250.00",Revenue
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,08/06/2020,260160,Family Society t/a Adoption Focus,"31,620.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08/06/2020,300606,Pillar Software Limited,"1,460.28",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08/06/2020,333013,Ace Site Services (UK) Limited,800.00,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08/06/2020,333013,The Firewood Company (UK) Limited T/A Esa Tree Care,"1,525.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08/06/2020,333154,The Firewood Company (UK) Limited T/A Esa Tree Care,"2,100.00",Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08/06/2020,341225,Cowbridge Compost Limited,629.08,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,08/06/2020,341225,Cowbridge Compost Limited,754.96,Revenue
