Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101173,Consolidated Billing EDI - EDF,722.77,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101195,Consolidated Billing EDI - EDF,"1,138.19",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101202,Consolidated Billing EDI - EDF,513.84,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101202,Consolidated Billing EDI - EDF,928.97,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101202,Consolidated Billing EDI - EDF,565.99,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101213,Consolidated Billing EDI - EDF,692.81,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101261,Consolidated Billing EDI - EDF,"1,076.17",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101300,Consolidated Billing EDI - EDF,636.49,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101304,Consolidated Billing EDI - EDF,"1,081.67",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101308,Consolidated Billing EDI - EDF,"1,130.66",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101315,Apogee Corporation Limited,953.73,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101315,Consolidated Billing EDI - EDF,967.04,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101315,Siemens Financial Services Limited,629.90,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,102593,Fire-Rite (UK) Limited,"1,722.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,08-Nov-2018,102632,Inspired Learners Limited,"3,388.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,08-Nov-2018,102634,Consolidated Billing EDI - EDF,515.47,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,08-Nov-2018,102636,Merricks Private Transport Contractors Limited,"3,292.50",,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,08-Nov-2018,103094,Academics Limited,535.28,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,08-Nov-2018,103227,Supply Desk Limited,745.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,08-Nov-2018,130275,PA Promotions Limited,"1,331.25",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,130511,Consolidated Billing EDI - EDF,664.58,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,08-Nov-2018,201711,Consolidated Billing EDI - EDF,545.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,212731,Consolidated Billing EDI - EDF,"1,267.24",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,212741,Consolidated Billing EDI - EDF,939.97,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,212791,Consolidated Billing EDI - EDF,"1,030.80",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,215401,Consolidated Billing EDI - EDF,560.39,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,215401,Consolidated Billing EDI - EDF,594.21,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,08-Nov-2018,215803,Consolidated Billing EDI - EDF,881.55,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,300645,Consolidated Billing EDI - EDF,"69,677.06",,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,08-Nov-2018,319010,ADT Fire and Security Plc,561.53,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,08-Nov-2018,319010,Tanner Electrics Limited,709.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,325207,Consolidated Billing EDI - EDF,606.89,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333013,Ace Site Services (UK) Limited,950.00,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333102,Ace Site Services (UK) Limited,"1,200.00",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333200,ADT Fire and Security Plc,643.09,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333218,Consolidated Billing EDI - EDF,635.94,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333530,Consolidated Billing EDI - EDF,549.70,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333600,Consolidated Billing EDI - EDF,673.95,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333600,Consolidated Billing EDI - EDF,-567.29,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333600,Consolidated Billing EDI - EDF,589.31,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,341220,Weir & Carmichael Limited,"7,056.30",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,341260,Consolidated Billing EDI - EDF,"5,088.09",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,350736,Consolidated Billing EDI - EDF,"1,350.11",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,352718,Consolidated Billing EDI - EDF,894.78,,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,352718,Consolidated Billing EDI - EDF,-894.78,,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,352730,Hexion UK Limited,"2,348.73",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,356020,Consolidated Billing EDI - EDF,"1,033.75",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,359457,Mr Wilson's Second Liners Limited,"2,471.60",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,359750,Schools Publishing Limited,"1,000.00",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,365786,New Adventure Travel Limited,"26,438.85",,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,365803,K-Tax Limited,"5,340.00",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,407111,RPA Quantity Surveyors Limited t/a RPA,"1,000.00",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,407120,Heatforce (Wales) Limited,781.03,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,407150,Consolidated Billing EDI - EDF,852.53,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,407245,Consolidated Billing EDI - EDF,517.02,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,407260,Consolidated Billing EDI - EDF,738.35,,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,409103,Heatforce (Wales) Limited,"17,207.13",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,409103,Heatforce (Wales) Limited,"1,235.76",,
DIRECT ENVIRONMENT AND HOUSING,HOUSING,08-Nov-2018,409103,Heatforce (Wales) Limited,"15,986.90",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,420220,South Wales Time Recorder (Sales & Service) Limited,"6,285.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,421230,Kenson Network Engineering Limited,"2,000.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,421230,Sec-1 Limited,"8,336.22",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,422100,Consolidated Billing EDI - EDF,"8,317.15",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,422120,Consolidated Billing EDI - EDF,"3,145.65",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,422130,Consolidated Billing EDI - EDF,"7,509.96",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,422201,Consolidated Billing EDI - EDF,"2,494.42",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,08-Nov-2018,422500,Consolidated Billing EDI - EDF,550.53,,
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,08-Nov-2018,810000,Wardle (Painters) Limited,"7,049.00",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,08-Nov-2018,812315,Burner Efficiency Services Limited,"7,248.48",,
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,08-Nov-2018,834211,Horizon Civil Engineering Limited,"4,250.30",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,504.80",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,633.50",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,851.30",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,851.30",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,386.00",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,851.30",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,524.60",,
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,08-Nov-2018,842067,Fusion Electrical & Building Services Engineering Limited,"1,633.50",,
DIRECT CAPITAL POLICY,CAPITAL POLICY,08-Nov-2018,852255,D & M Mechanical Engineers Limited,"6,210.93",,
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,08-Nov-2018,301050,Cardiff County Council,"5,672.10",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,365792,Penarth Town Council,"7,000.00",,
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,08-Nov-2018,365792,Penarth Town Council,"11,456.20",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,08-Nov-2018,440531,Cardiff County Council,"1,528.46",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,08-Nov-2018,440531,Cardiff County Council,-537.40,,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333550,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,"1,400.00",,
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,08-Nov-2018,333600,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,"2,425.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400050,Clare Templeman,"2,125.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400050,James Lewis - Solicitor,"6,390.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400050,Katherine Broadhurst,975.00,,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400050,Laura Beattie,910.00,,
DIRECT ENVIRONMENT AND HOUSING,NEIGHBOURHOOD SERVICES AND TRANSPORT,08-Nov-2018,323200,HM Courts & Tribunals Service - Traffic Enforcement Centre,"2,000.00",,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400500,Cardiff & Vale College,910.00,,
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,08-Nov-2018,403227,University of South Wales,"1,100.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,08-Nov-2018,101013,New Directions (Education) Limited,637.50,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,08-Nov-2018,103065,New Directions (Education) Limited,657.50,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,08-Nov-2018,103213,New Directions (Education) Limited,652.50,,
DIRECT ENVIRONMENT AND HOUSING,GF LEGAL AND DEMOCRATIC,08-Nov-2018,400050,Josephine A Duncombe T/A JD Child Protection Assessments and Training,"1,080.23",,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,690.95,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,635.32,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,618.29,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,215489,Hallows Care Limited T/A Hallows Care,618.77,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,216179,Hallows Care Limited T/A Hallows Care,597.79,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,09-Nov-2018,100130,11kbw Limited,"2,340.00",,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,09-Nov-2018,100130,11kbw Limited,"1,776.67",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Nov-2018,101134,Dwr Cymru Cyf,512.32,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Nov-2018,101134,EDF Energy Plc,601.26,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,09-Nov-2018,101261,Globebrow Limited t/a Manor Adventure,"1,900.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Empowering Learning Limited,509.70,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Empowering Learning Limited,509.70,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Empowering Learning Limited,504.70,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Empowering Learning Limited,504.70,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Empowering Learning Limited,504.70,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Springfield Supplies & Projects Limited,"1,234.20",,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,09-Nov-2018,130041,Dwr Cymru Cyf,"1,059.55",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Attachment Works Limited,"7,342.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Attachment Works Limited,"3,327.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Attachment Works Limited,"7,458.50",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260130,Llamau Limited,677.96,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260140,Llamau Limited,917.24,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,ACTL Limited,"1,661.60",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,Llamau Limited,575.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,Llamau Limited,575.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,Llamau Limited,575.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,Llamau Limited,575.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"7,801.36",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"32,799.54",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"1,566.51",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"1,566.51",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"22,739.74",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal A Chymorth Gwalia Cyf,"10,731.20",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"9,903.72",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"4,248.24",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"9,781.98",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"6,844.80",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"6,844.80",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Llamau Limited,"10,761.42",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Pobl Group Limited T/A Reach Supported Living,"17,764.24",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Nov-2018,420211,Capita Business Services Limited,"10,767.14",,
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,09-Nov-2018,812316,LCB Construction Limited,"43,768.41",,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,09-Nov-2018,835375,G Oakley & Sons Limited,"88,362.14",,
DIRECT CAPITAL DEVELOPMENT,AR CAPITAL LEISURE,09-Nov-2018,835382,ARC Electrical Engineering Solutions Limited,"25,566.88",,
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,09-Nov-2018,239011,Torfaen County Borough Council,"3,000.00",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Cardiff County Council,"5,580.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,David Evans - Solicitor,"3,600.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,James Lewis - Solicitor,"5,300.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Kayleigh Simmons,975.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Kayleigh Simmons,"1,000.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260050,Kayleigh Simmons,"2,520.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260210,Helena Jones,648.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260210,Helena Jones,648.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260210,Helena Jones,648.00,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260210,Helena Jones,648.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405100,Duncan M Evans,822.40,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,New Directions (Education) Limited,506.80,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,09-Nov-2018,103110,New Directions (Education) Limited,643.75,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,09-Nov-2018,103110,New Directions (Education) Limited,643.75,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,09-Nov-2018,103110,New Directions (Education) Limited,643.75,,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,09-Nov-2018,260200,BS Project Services Limited,856.80,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405001,James Andrews Recruitment Solutions Limited,721.50,,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,09-Nov-2018,422160,Hays Specialist Recruitment Limited,510.00,,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Hafod Care Association Limited,"3,024.88",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Hafod Care Association Limited,"5,028.00",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Hafod Care Association Limited,"10,543.80",,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,09-Nov-2018,100650,Debbie Mills t/a Abracadabra Playgroup,"2,873.00",,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,09-Nov-2018,102636,Beverley Neallon T/A Willows Coffee Shop,558.60,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,217909,Susan Heffernan T/A Baruc Guest House,656.20,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,09-Nov-2018,217909,Susan Heffernan T/A Baruc Guest House,980.00,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,09-Nov-2018,319010,Paul R Curtis t/a PRC Plant Cleaning,735.00,,
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,09-Nov-2018,319010,Paul R Curtis t/a PRC Plant Cleaning,730.00,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,09-Nov-2018,100650,St Donats Nursery,"1,012.50",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Atal Y Fro,"7,032.60",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Atal Y Fro,"7,292.75",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Atal Y Fro,"3,101.70",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal Cymru,"3,946.72",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal Cymru,"3,052.85",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal Cymru,"2,808.60",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal Cymru,"4,381.60",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Gofal Cymru,"4,871.25",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Taff Housing Association,"4,933.65",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Taff Housing Association,"11,580.10",,
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-Nov-2018,405301,Taff Housing Association,"2,938.48",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GRANTS,09-Nov-2018,465200,Menter Iaith Bro Morgannwg,"21,735.00",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101065,Cornerstones Education Limited,600.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101065,Dwr Cymru Cyf,"3,092.65",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101065,EDF Energy Plc,869.60,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101065,Glen Cleaning Company Limited,"3,221.91",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101065,ParentPay Limited t/a Schoolcomms,549.00,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101229,Dwr Cymru Cyf,"2,394.28",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,101229,Glen Cleaning Company Limited,"2,433.14",,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,12-Nov-2018,102593,AP Cymru Limited t/a MPCT,930.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Nov-2018,102632,Inspired Learners Limited,620.00,,
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,12-Nov-2018,102632,Smooth Starts Plus Limited,"1,309.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12-Nov-2018,140117,Sanofi Pasteur MSD Limited,"1,200.00",,
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,12-Nov-2018,140117,Sanofi Pasteur MSD Limited,"1,000.00",,
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,12-Nov-2018,209151,Gibbonsdown Childrens Centre Limited,"9,600.00",,
